time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
62863,768,692,555,214,25,34
62994,769,693,555,215,25,34
63125,768,693,555,214,25,34
63256,768,692,555,214,25,34
63387,768,693,555,215,25,34
63518,768,693,555,214,25,34
63653,769,692,555,214,25,34
63780,768,693,555,215,25,34
63911,769,692,555,214,25,34
64042,768,692,554,214,25,34
64173,769,692,555,214,25,34
64304,769,692,555,214,25,34
64435,768,693,555,214,25,34
64566,768,692,555,215,25,34
64698,768,693,554,215,25,34
64829,769,693,556,214,25,34
64960,769,693,555,214,25,34
65091,768,693,555,214,25,34
65222,769,693,555,214,25,34
65353,769,693,554,214,25,34
65484,768,693,555,214,25,34
65615,769,693,554,215,25,34
65746,768,692,555,214,25,34
65877,769,692,555,214,25,34
66008,769,693,555,215,25,34
66140,768,693,555,214,25,34
66270,768,692,555,214,25,34
66401,768,692,555,214,25,34
66532,769,692,555,213,25,34
66664,769,693,555,214,25,34
66794,769,692,554,214,25,34
66926,768,693,555,214,25,34
67056,768,692,555,214,25,34
67188,768,693,555,214,25,34
67319,769,692,555,214,25,34
67450,769,693,554,214,25,34
67581,768,693,555,214,25,34
67712,769,692,555,213,25,34
67843,769,693,555,214,25,34
67974,769,693,555,214,25,34
68105,768,693,555,214,25,34
68232,768,692,555,214,25,34
68368,768,692,555,214,25,34
68499,768,693,554,214,25,34
68630,768,693,555,213,25,34
68761,768,693,555,214,25,34
68892,769,693,555,214,25,34
69023,769,692,555,214,25,34
69154,769,692,554,214,25,34
69285,768,692,554,214,25,34
69412,768,693,555,214,25,34
69547,769,692,555,213,25,34
69678,769,692,555,213,25,34
69809,769,693,555,214,25,34
69940,768,693,554,214,25,34
70071,768,693,555,214,25,34
70202,769,692,555,213,25,34
70333,769,693,555,214,25,34
70460,768,693,555,214,25,34
70591,769,692,555,213,25,34
70726,769,693,554,214,25,34
70858,768,693,555,213,25,34
70989,769,693,554,214,25,34
71120,769,692,555,214,25,34
71251,769,692,555,213,25,34
71382,769,692,554,213,25,34
71513,769,693,554,214,25,34
71640,769,693,554,214,25,34
71771,768,692,554,213,25,34
71906,768,692,555,213,25,34
72037,769,692,555,213,25,34
72168,768,692,555,213,25,34
72299,769,693,555,214,25,34
72430,768,693,554,213,25,34
72561,768,692,555,214,25,34
72688,768,693,555,213,25,34
72820,768,692,555,213,25,34
72951,768,693,555,214,25,34
73086,769,692,554,214,25,34
73217,768,693,554,214,25,34
73348,769,693,555,214,25,34
73479,769,692,554,213,25,34
73610,769,692,555,214,25,34
73741,768,692,554,213,25,34
73868,769,692,555,214,25,34
73999,769,692,554,213,25,34
74130,769,693,555,213,25,34
74265,767,693,555,214,25,34
