time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
48291,87,52,199,281,22,52,beer,1pilsner,roomjose
48518,87,53,199,278,22,52,beer,1pilsner,roomjose
48755,86,52,199,274,22,52,beer,1pilsner,roomjose
48985,86,52,199,272,22,52,beer,1pilsner,roomjose
49215,86,52,199,270,22,52,beer,1pilsner,roomjose
49444,87,52,199,268,22,52,beer,1pilsner,roomjose
49677,87,52,198,267,22,52,beer,1pilsner,roomjose
49907,87,53,199,266,22,52,beer,1pilsner,roomjose
50141,87,52,199,265,22,52,beer,1pilsner,roomjose
50370,87,53,199,263,22,52,beer,1pilsner,roomjose
50603,86,52,198,263,22,52,beer,1pilsner,roomjose
50833,87,52,199,264,22,52,beer,1pilsner,roomjose
51062,86,53,200,264,22,52,beer,1pilsner,roomjose
51295,86,52,200,268,22,51,beer,1pilsner,roomjose
51529,87,52,200,274,22,51,beer,1pilsner,roomjose
51758,87,53,200,276,22,51,beer,1pilsner,roomjose
51988,86,53,201,276,22,51,beer,1pilsner,roomjose
52221,86,51,200,274,22,51,beer,1pilsner,roomjose
52454,87,52,199,272,22,51,beer,1pilsner,roomjose
52684,86,52,199,269,22,51,beer,1pilsner,roomjose
52917,87,52,198,266,22,51,beer,1pilsner,roomjose
53147,86,52,198,262,22,51,beer,1pilsner,roomjose
53376,87,52,199,258,22,51,beer,1pilsner,roomjose
53610,87,52,199,257,22,51,beer,1pilsner,roomjose
53843,86,51,198,253,22,51,beer,1pilsner,roomjose
54072,87,52,199,252,22,51,beer,1pilsner,roomjose
54302,86,52,199,249,22,51,beer,1pilsner,roomjose
54535,86,52,199,249,22,51,beer,1pilsner,roomjose
54768,86,52,199,248,22,51,beer,1pilsner,roomjose
55000,86,52,199,250,22,51,beer,1pilsner,roomjose
55227,86,51,200,251,22,51,beer,1pilsner,roomjose
55461,86,51,200,253,22,51,beer,1pilsner,roomjose
55690,87,52,200,253,22,51,beer,1pilsner,roomjose
55923,86,52,201,256,22,51,beer,1pilsner,roomjose
56153,87,51,200,259,22,51,beer,1pilsner,roomjose
56386,87,52,201,261,22,51,beer,1pilsner,roomjose
56616,87,53,201,261,22,51,beer,1pilsner,roomjose
56845,87,52,201,263,22,51,beer,1pilsner,roomjose
57082,87,52,201,264,22,51,beer,1pilsner,roomjose
57312,86,52,202,265,22,51,beer,1pilsner,roomjose
57541,87,52,201,265,22,51,beer,1pilsner,roomjose
57771,87,52,202,269,22,51,beer,1pilsner,roomjose
58004,87,51,202,268,22,51,beer,1pilsner,roomjose
58238,87,53,202,269,22,51,beer,1pilsner,roomjose
58467,87,52,202,270,22,51,beer,1pilsner,roomjose
58701,87,52,202,270,22,51,beer,1pilsner,roomjose
58930,87,53,202,271,22,51,beer,1pilsner,roomjose
59161,86,52,201,270,22,51,beer,1pilsner,roomjose
59393,87,52,202,272,22,51,beer,1pilsner,roomjose
59626,87,52,202,271,22,51,beer,1pilsner,roomjose
59855,88,52,201,270,22,51,beer,1pilsner,roomjose
60085,87,52,201,268,22,51,beer,1pilsner,roomjose
60318,87,52,202,266,22,51,beer,1pilsner,roomjose
60552,87,52,202,262,22,51,beer,1pilsner,roomjose
60781,87,52,201,260,22,51,beer,1pilsner,roomjose
61010,87,52,201,257,22,51,beer,1pilsner,roomjose
61245,86,52,201,256,22,51,beer,1pilsner,roomjose
61473,87,52,201,252,22,51,beer,1pilsner,roomjose
61707,86,52,200,250,22,51,beer,1pilsner,roomjose
61936,86,51,200,245,22,51,beer,1pilsner,roomjose
62169,87,51,200,243,22,51,beer,1pilsner,roomjose
62399,87,52,200,241,22,51,beer,1pilsner,roomjose
62629,86,52,200,240,22,51,beer,1pilsner,roomjose
62862,86,52,200,240,22,51,beer,1pilsner,roomjose
63095,86,52,200,242,22,51,beer,1pilsner,roomjose
63324,86,52,201,244,22,51,beer,1pilsner,roomjose
63554,86,52,201,246,22,51,beer,1pilsner,roomjose
63787,86,52,200,253,22,51,beer,1pilsner,roomjose
64021,87,51,201,257,22,51,beer,1pilsner,roomjose
64250,86,52,201,260,22,51,beer,1pilsner,roomjose
64484,86,52,201,265,22,51,beer,1pilsner,roomjose
64713,86,52,201,266,22,51,beer,1pilsner,roomjose
64943,87,52,201,268,22,51,beer,1pilsner,roomjose
65176,86,51,200,268,22,51,beer,1pilsner,roomjose
65409,86,51,201,266,22,51,beer,1pilsner,roomjose
65640,86,51,201,265,22,51,beer,1pilsner,roomjose
65868,85,51,201,263,22,51,beer,1pilsner,roomjose
66101,86,52,200,258,22,51,beer,1pilsner,roomjose
66335,86,52,201,252,22,51,beer,1pilsner,roomjose
66564,86,52,201,250,22,51,beer,1pilsner,roomjose
66794,86,52,200,245,22,51,beer,1pilsner,roomjose
67027,86,51,200,242,22,51,beer,1pilsner,roomjose
67256,85,51,200,239,22,51,beer,1pilsner,roomjose
67490,85,51,200,235,22,51,beer,1pilsner,roomjose
67719,84,52,200,231,22,51,beer,1pilsner,roomjose
67953,85,51,199,228,22,51,beer,1pilsner,roomjose
68182,85,51,199,226,22,51,beer,1pilsner,roomjose
68412,85,52,199,224,22,51,beer,1pilsner,roomjose
68645,84,51,198,220,22,51,beer,1pilsner,roomjose
68878,85,51,198,220,22,51,beer,1pilsner,roomjose
69108,84,51,198,217,22,51,beer,1pilsner,roomjose
69337,84,52,198,215,22,51,beer,1pilsner,roomjose
69571,84,51,197,214,22,51,beer,1pilsner,roomjose
69804,84,51,197,213,22,51,beer,1pilsner,roomjose
70033,84,50,198,213,22,51,beer,1pilsner,roomjose
70263,83,51,198,213,22,51,beer,1pilsner,roomjose
70496,84,51,198,214,22,51,beer,1pilsner,roomjose
70726,84,50,198,215,22,51,beer,1pilsner,roomjose
70959,83,50,198,215,22,51,beer,1pilsner,roomjose
71192,83,51,197,214,22,51,beer,1pilsner,roomjose
71422,84,51,196,213,22,51,beer,1pilsner,roomjose
71651,83,51,197,214,22,51,beer,1pilsner,roomjose
71884,83,50,198,215,22,51,beer,1pilsner,roomjose
72118,84,51,197,216,22,51,beer,1pilsner,roomjose
72347,83,51,197,217,22,51,beer,1pilsner,roomjose
72577,84,51,197,219,22,51,beer,1pilsner,roomjose
72810,83,50,198,220,22,51,beer,1pilsner,roomjose
73040,83,51,198,221,22,51,beer,1pilsner,roomjose
73273,84,51,197,223,22,51,beer,1pilsner,roomjose
73503,83,51,198,225,22,51,beer,1pilsner,roomjose
73736,84,51,198,227,22,51,beer,1pilsner,roomjose
73965,83,50,198,230,22,51,beer,1pilsner,roomjose
74195,84,51,199,231,22,51,beer,1pilsner,roomjose
74428,84,51,198,230,22,51,beer,1pilsner,roomjose
74661,84,51,199,229,22,51,beer,1pilsner,roomjose
74891,84,51,197,224,22,51,beer,1pilsner,roomjose
75120,84,51,198,222,22,51,beer,1pilsner,roomjose
75354,84,50,197,220,22,51,beer,1pilsner,roomjose
75587,84,50,197,221,22,52,beer,1pilsner,roomjose
75817,84,51,197,222,22,52,beer,1pilsner,roomjose
76054,84,51,197,223,22,52,beer,1pilsner,roomjose
76284,83,50,197,224,22,52,beer,1pilsner,roomjose
76509,84,50,197,222,22,52,beer,1pilsner,roomjose
76742,84,50,198,220,22,52,beer,1pilsner,roomjose
76976,84,51,196,217,22,52,beer,1pilsner,roomjose
77205,83,50,197,216,22,52,beer,1pilsner,roomjose
77434,84,50,198,216,22,52,beer,1pilsner,roomjose
77668,84,51,197,218,22,52,beer,1pilsner,roomjose
77901,84,50,197,218,22,52,beer,1pilsner,roomjose
78131,84,51,198,222,22,52,beer,1pilsner,roomjose
78360,84,51,198,220,22,52,beer,1pilsner,roomjose
78593,84,51,198,222,22,52,beer,1pilsner,roomjose
78823,84,50,198,220,22,52,beer,1pilsner,roomjose
