time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
99855,34,25,104,87,23,42,air,1afterbeer,roomlect
100085,34,25,104,88,23,42,air,1afterbeer,roomlect
100318,35,24,104,88,23,42,air,1afterbeer,roomlect
100547,34,25,104,87,23,42,air,1afterbeer,roomlect
100777,34,25,104,88,23,42,air,1afterbeer,roomlect
101010,35,25,104,88,23,42,air,1afterbeer,roomlect
101244,34,24,104,88,23,42,air,1afterbeer,roomlect
101473,35,25,104,88,23,42,air,1afterbeer,roomlect
101702,35,25,104,88,23,42,air,1afterbeer,roomlect
101936,35,25,103,87,23,42,air,1afterbeer,roomlect
102169,35,25,104,88,23,42,air,1afterbeer,roomlect
102399,34,25,104,88,23,42,air,1afterbeer,roomlect
102628,34,25,104,88,23,42,air,1afterbeer,roomlect
102861,34,24,103,87,23,42,air,1afterbeer,roomlect
103091,35,25,104,88,23,42,air,1afterbeer,roomlect
103324,34,25,103,87,23,42,air,1afterbeer,roomlect
103554,35,25,104,88,23,42,air,1afterbeer,roomlect
103787,34,25,103,87,23,42,air,1afterbeer,roomlect
104016,34,25,103,87,23,42,air,1afterbeer,roomlect
104246,35,24,103,87,23,42,air,1afterbeer,roomlect
104479,34,24,103,88,23,42,air,1afterbeer,roomlect
104713,35,25,103,88,23,42,air,1afterbeer,roomlect
104942,35,24,104,87,23,42,air,1afterbeer,roomlect
105172,35,25,103,87,23,42,air,1afterbeer,roomlect
105405,35,25,103,87,23,42,air,1afterbeer,roomlect
105638,35,25,103,87,23,42,air,1afterbeer,roomlect
105868,34,25,103,88,23,42,air,1afterbeer,roomlect
106097,35,25,103,87,23,42,air,1afterbeer,roomlect
106330,34,24,104,88,23,42,air,1afterbeer,roomlect
106560,34,25,103,87,23,42,air,1afterbeer,roomlect
106793,35,25,103,88,23,42,air,1afterbeer,roomlect
107023,35,25,103,87,23,42,air,1afterbeer,roomlect
107259,34,25,102,88,23,42,air,1afterbeer,roomlect
107486,34,25,103,88,23,42,air,1afterbeer,roomlect
107715,35,24,103,88,23,42,air,1afterbeer,roomlect
107948,34,25,103,87,23,42,air,1afterbeer,roomlect
108182,34,25,103,88,23,42,air,1afterbeer,roomlect
108411,34,24,103,88,23,42,air,1afterbeer,roomlect
108641,35,25,103,88,23,42,air,1afterbeer,roomlect
108874,34,25,103,87,23,42,air,1afterbeer,roomlect
109107,34,25,103,88,23,43,air,1afterbeer,roomlect
109337,34,25,103,88,23,43,air,1afterbeer,roomlect
109568,34,25,103,88,23,43,air,1afterbeer,roomlect
109799,34,25,103,87,23,43,air,1afterbeer,roomlect
110029,34,25,103,87,23,43,air,1afterbeer,roomlect
110263,34,25,102,87,23,42,air,1afterbeer,roomlect
110492,34,25,103,87,23,42,air,1afterbeer,roomlect
110725,34,25,103,88,23,42,air,1afterbeer,roomlect
110954,33,25,103,87,23,42,air,1afterbeer,roomlect
111184,34,25,103,87,23,42,air,1afterbeer,roomlect
111418,34,24,102,87,23,42,air,1afterbeer,roomlect
111651,34,25,103,88,23,42,air,1afterbeer,roomlect
111880,34,25,103,87,23,42,air,1afterbeer,roomlect
112110,34,24,102,87,23,42,air,1afterbeer,roomlect
112343,34,25,102,87,23,42,air,1afterbeer,roomlect
112580,34,25,103,87,23,42,air,1afterbeer,roomlect
112806,34,25,103,87,23,42,air,1afterbeer,roomlect
113035,34,24,103,88,23,42,air,1afterbeer,roomlect
113269,34,25,103,88,23,42,air,1afterbeer,roomlect
113501,34,25,103,87,23,42,air,1afterbeer,roomlect
113731,34,25,103,87,23,42,air,1afterbeer,roomlect
